crop,year,production,area,yield
Arecanut,2011,1976272.0,416213.36,4.748218557905013
Arecanut,2013,2632202.0,415932.9,6.328429417341114
Arecanut,2014,2428380.0,429580.5,5.652910222880228
Arecanut,2015,2671675.0,442981.21,6.031124886764384
Arecanut,2016,2806129.0,451443.5,6.215902986752495
Arecanut,2017,3254257.0,472133.3,6.892665694201193
Arecanut,2018,4459325.0,671437.98,6.6414548071885955
Arecanut,2019,5616624.0,697194.8,8.056032546427483
Arhar/Tur,2011,2466955.0,3762903.0,0.6555988820333662
Arhar/Tur,2013,3021118.0,3538731.5,0.8537290834300371
Arhar/Tur,2014,2078572.0,3485492.9,0.5963495148706227
Arhar/Tur,2015,2166798.0,3598201.0,0.6021892606888831
Arhar/Tur,2016,5566946.0,4996907.5,1.1140782574022032
Arhar/Tur,2017,4393212.0,4492072.0,0.9779923385021433
Arhar/Tur,2018,3162968.0,4477018.0,0.7064899001969615
Arhar/Tur,2019,4002570.0,4722536.0,0.847546741835319
Bajra,2011,12420188.0,8801756.0,1.4111034207265005
Bajra,2013,9975276.0,7799380.0,1.2789832012288156
Bajra,2014,9465871.0,7350324.2,1.287816801332382
Bajra,2015,7844496.0,7160158.3,1.0955757779824504
Bajra,2016,9808929.0,7469172.0,1.313255204191308
Bajra,2017,9317335.0,7508419.0,1.240918361109043
Bajra,2018,8663982.0,7173137.4,1.2078371731733453
Bajra,2019,11187272.0,7620138.0,1.4681193437704148
Banana,2011,12718128.0,403985.4,31.48165255477054
Banana,2013,10959123.0,333761.5,32.83519219562472
Banana,2014,9485918.0,315905.0,30.027755179563478
Banana,2015,11177201.0,336727.21,33.193637662961656
Banana,2016,11389806.0,333873.9,34.114095171859795
Banana,2017,17959279.0,394622.9,45.5099767398192
Banana,2018,19276997.0,403958.11,47.72028713571316
Banana,2019,18997037.0,443426.29,42.84147653942666
Barley,2011,1601559.0,631637.0,2.535568688978005
Barley,2013,1812277.0,670411.0,2.7032327930180142
Barley,2014,1537673.0,661160.0,2.3257199467602394
Barley,2015,1516953.0,572211.0,2.6510378164697985
Barley,2016,1931653.0,654159.0,2.952879957319245
Barley,2017,1931234.0,633691.0,3.0475957525039807
Barley,2018,1508052.0,491798.0,3.0664053127503568
Barley,2019,1800494.0,574743.0,3.132694091098108
Black pepper,2011,50233.0,115968.38,0.43316117721054653
Black pepper,2013,106806.0,121740.3,0.8773265713982962
Black pepper,2014,67708.0,127889.0,0.5294278632251406
Black pepper,2015,76953.0,130748.26999999999,0.5885584566434416
Black pepper,2016,66198.0,133326.3,0.4965111909653235
Black pepper,2017,75367.0,137159.62,0.5494838787100752
Black pepper,2018,140723.0,241964.85,0.5815844739432194
Black pepper,2019,125328.0,273663.22,0.4579643548738483
Cardamom,2011,2699.0,31692.0,0.08516344818881737
Cardamom,2013,15882.0,62434.0,0.2543806259409937
Cardamom,2014,17790.0,61969.0,0.28707902338265906
Cardamom,2015,21335.0,60397.0,0.3532460221534182
Cardamom,2016,19257.0,59649.0,0.3228386058441885
Cardamom,2017,20467.0,57584.0,0.35542859127535426
Cardamom,2018,12089.0,44519.0,0.27154697994114874
Cardamom,2019,10725.0,45452.0,0.23596321393998063
Cashewnut,2011,167874.0,362204.21,0.46347887563206397
Cashewnut,2013,199734.0,395926.6,0.5044722936018949
Cashewnut,2014,199636.0,383884.0,0.5200425128424212
Cashewnut,2015,172805.0,375910.84,0.4596967727772894
Cashewnut,2016,162673.0,372989.0,0.43613350527763556
Cashewnut,2017,206439.0,288930.7,0.7144931293213217
Cashewnut,2018,234370.0,352481.72,0.6649139138336025
Cashewnut,2019,269560.0,353869.06,0.7617506882347951
Castor seed,2011,2308175.0,1459067.0,1.5819527136176748
Castor seed,2013,1756330.0,990637.0,1.7729299430568413
Castor seed,2014,1846959.0,1053883.0,1.7525275576131316
Castor seed,2015,1738132.0,1036106.0,1.6775619482948656
Castor seed,2016,1370502.0,788366.0,1.7384083027426347
Castor seed,2017,1716381.0,816531.0,2.102040216476778
Castor seed,2018,1191733.0,743832.0,1.6021534432506266
Castor seed,2019,1802079.0,1030960.0,1.7479620935826803
Coriander,2011,418818.0,463120.0,0.9043401278286405
Coriander,2013,229119.0,359133.0,0.6379781306646841
Coriander,2014,237511.0,316250.0,0.7510229249011857
Coriander,2015,606554.0,516422.44,1.1745306807349425
Coriander,2016,611134.0,484342.83,1.2617798017160695
Coriander,2017,540948.0,403854.92,1.339461210476277
Coriander,2018,489826.0,374371.0,1.3083972850461174
Coriander,2019,518162.0,395769.48,1.309252042375779
Cotton(lint),2011,29096477.0,12252438.0,2.3747499885328947
Cotton(lint),2013,34139420.0,11964168.0,2.853472134460165
Cotton(lint),2014,27618020.0,12827296.0,2.1530663984054006
Cotton(lint),2015,21816770.0,12139581.0,1.7971600502521463
Cotton(lint),2016,27979327.0,11084365.0,2.5242155955708783
Cotton(lint),2017,31099604.0,12408679.3,2.5062783272995053
Cotton(lint),2018,26133620.0,12269968.4,2.129884865881154
Cotton(lint),2019,33178873.0,13483906.7,2.460627601346426
Cowpea(Lobia),2011,61311.0,111586.0,0.549450647930744
Cowpea(Lobia),2013,56199.0,108986.0,0.5156533866735177
Cowpea(Lobia),2014,61079.0,101114.9,0.6040553864959566
Cowpea(Lobia),2015,81455.0,123528.0,0.6594051551065345
Cowpea(Lobia),2016,64176.0,89639.0,0.715938375037651
Cowpea(Lobia),2017,94481.0,189248.7,0.49924253112438816
Cowpea(Lobia),2018,97380.0,167618.0,0.5809638582968416
Cowpea(Lobia),2019,133075.0,203070.0,0.6553159009208648
Dry chillies,2011,1156883.0,537042.0,2.1541760234767486
Dry chillies,2013,1271115.0,481086.5,2.6421755754942198
Dry chillies,2014,1283986.0,425127.6,3.020236747743501
Dry chillies,2015,1413577.0,555664.41,2.5439401454557795
Dry chillies,2016,2176709.0,671091.27,3.2435364566730245
Dry chillies,2017,1471655.0,492927.13,2.985542710947965
Dry chillies,2018,1370449.0,593431.48,2.309363500567917
Dry chillies,2019,1561755.0,487886.08999999997,3.201064822323588
Garlic,2011,1054861.0,226580.0,4.655578603583723
Garlic,2013,1173976.0,221736.0,5.294476314175416
Garlic,2014,337456.0,60957.0,5.5359679774267105
Garlic,2015,1940096.0,244676.73,7.929221548775807
Garlic,2016,2798873.0,331983.15,8.430768248328265
Garlic,2017,2886682.0,375794.25,7.681549145576336
Garlic,2018,2674084.0,317742.22,8.415891347394753
Garlic,2019,2727480.0,329571.76,8.275830429160557
Ginger,2011,470649.0,92751.59,5.074295761398807
Ginger,2013,905946.0,78794.0,11.497652105490266
Ginger,2014,1298796.0,84878.5,15.301825550640032
Ginger,2015,1817839.0,103789.42,17.514685022808685
Ginger,2016,1378066.0,102663.85,13.42308904254029
Ginger,2017,1367487.0,100531.22,13.602610214021077
Ginger,2018,1114974.0,97308.81,11.458099220409744
Ginger,2019,1278481.0,117400.16,10.88994256907316
Gram,2011,6983911.0,7767064.0,0.8991700081266228
Gram,2013,7713053.0,9082264.0,0.849243426528892
Gram,2014,6902723.0,8027593.0,0.859874560157696
Gram,2015,6717889.0,8207767.0,0.8184794963112378
Gram,2016,10359331.0,9408913.0,1.1010125186618263
Gram,2017,12565707.0,10774600.0,1.166234198949381
Gram,2018,9932540.0,9583993.86,1.036367525385706
Gram,2019,11430145.0,9779447.0,1.1687925707864668
Groundnut,2011,6988127.0,5283437.3,1.3226478527529797
Groundnut,2013,10227930.0,5490294.7,1.86291092898893
Groundnut,2014,6983462.0,4709179.5,1.4829466576927042
Groundnut,2015,6323061.0,4566953.2,1.384525026444326
Groundnut,2016,7148294.0,5310293.5,1.3461203227279246
Groundnut,2017,9489191.0,4878415.0,1.945138123755359
Groundnut,2018,6712988.0,4743151.3,1.4153012576259163
Groundnut,2019,9957031.0,4842116.0,2.0563387989878805
Guar seed,2011,1932637.0,3236721.0,0.5970971857012081
Guar seed,2013,3244156.0,5553191.0,0.5841967258104395
Guar seed,2014,2991219.0,4938431.0,0.6057022969441104
Guar seed,2015,2449888.0,5150564.0,0.4756543166923079
Guar seed,2016,1583868.0,3788643.0,0.4180568082028315
Guar seed,2017,1645525.0,3930782.0,0.4186253524107926
Guar seed,2018,1307333.0,3458295.0,0.3780281901919877
Guar seed,2019,1526659.0,3140242.0,0.4861596654015837
Horse-gram,2011,192187.0,415423.0,0.46262965700021424
Horse-gram,2013,211099.0,408335.0,0.5169750327549684
Horse-gram,2014,227589.0,432219.0,0.5265594524997744
Horse-gram,2015,194559.0,416450.0,0.4671845359586985
Horse-gram,2016,92751.0,293128.0,0.3164180835675882
Horse-gram,2017,245171.0,396370.0,0.6185407573731614
Horse-gram,2018,240744.0,490006.0,0.4913082696946568
Horse-gram,2019,295759.0,459037.0,0.644303182532127
Jowar,2011,5730084.0,6131123.0,0.9345896339055667
Jowar,2013,6263185.0,6548537.0,0.9564250763185731
Jowar,2014,5746456.0,6146424.0,0.9349267151110955
Jowar,2015,3896324.0,6070638.0,0.641831056307426
Jowar,2016,4997992.0,6165339.0,0.8106597220363714
Jowar,2017,5822466.0,6245333.0,0.9322907201265329
Jowar,2018,3834906.0,4943554.0,0.7757386689818702
Jowar,2019,4896201.0,4991238.0,0.9809592329598388
Jute,2011,10734936.0,805135.0,13.333088239860396
Jute,2013,11067312.0,753253.0,14.69268891063162
Jute,2014,11073857.0,743756.0,14.889099382055406
Jute,2015,9929635.0,727681.0,13.645587833130177
Jute,2016,10433086.0,706068.0,14.776318994771042
Jute,2017,9552835.0,685701.0,13.931487630906183
Jute,2018,8440660.0,665697.0,12.679432234184622
Jute,2019,9283060.0,628398.0,14.772580434692664
Khesari,2011,365993.0,499465.0,0.7327700639684462
Khesari,2013,308818.0,455938.0,0.677324548513175
Khesari,2014,398979.0,431875.0,0.9238298118668596
Khesari,2015,282083.0,393791.0,0.7163266809043376
Khesari,2016,373371.0,320024.0,1.1666968727345448
Khesari,2017,263287.0,347393.0,0.7578937975146304
Khesari,2018,248355.0,320596.0,0.7746665585347291
Khesari,2019,180164.0,329536.0,0.5467202369392115
Linseed,2011,116943.0,240360.0,0.48653270094857715
Linseed,2013,98878.0,196561.0,0.5030397688249449
Linseed,2014,104713.0,188937.0,0.5542217776295802
Linseed,2015,97875.0,212453.0,0.46069012911090923
Linseed,2016,139029.0,234477.0,0.5929323558387389
Linseed,2017,164013.0,301019.0,0.5448592945960222
Linseed,2018,92927.0,156425.0,0.5940674444622024
Linseed,2019,120624.0,176454.0,0.6836002584242918
Maize,2011,22225075.0,8634475.5,2.573992479334732
Maize,2013,26279747.0,8652885.1,3.0371080508164843
Maize,2014,24914516.0,9041366.1,2.755614110128778
Maize,2015,22721124.0,8645119.5,2.628202421030733
Maize,2016,27612177.0,9406875.5,2.935318640073423
Maize,2017,33122757.0,9374226.92,3.5333854495598236
Maize,2018,28447793.0,9090595.756,3.1293650893258356
Maize,2019,32624847.0,9919671.59,3.288903942433844
Masoor,2011,1008720.0,1483734.0,0.6798523185422723
Masoor,2013,963295.0,1252035.0,0.7693834437535692
Masoor,2014,977405.0,1352870.0,0.7224677906968149
Masoor,2015,1226030.0,1334068.0,0.9190161221167137
Masoor,2016,1460662.0,1432778.0,1.0194614936856932
Masoor,2017,1610117.0,1535988.0,1.0482614447508705
Masoor,2018,1219656.0,1349629.0,0.9036972382780749
Masoor,2019,1103037.0,1303204.0,0.8464039398283001
Mesta,2011,570717.0,64821.0,8.804507798398667
Mesta,2013,510381.0,47257.0,10.800114268785578
Mesta,2014,441154.0,45074.0,9.78732750587922
Mesta,2015,541193.0,44404.0,12.187933519502748
Mesta,2016,321950.0,50343.0,6.395129412232088
Mesta,2017,243297.0,49325.0,4.932529143436391
Mesta,2018,244004.0,39933.0,6.110334810808103
Mesta,2019,289748.0,43984.0,6.587577300836668
Moong(Green Gram),2011,1604231.0,3312748.4,0.4842598369378127
Moong(Green Gram),2013,1427327.0,3132165.2,0.45569978237418635
Moong(Green Gram),2014,1385030.0,2853965.0,0.48530027523112584
Moong(Green Gram),2015,2033170.0,4092797.5,0.4967677975761078
Moong(Green Gram),2016,2236803.0,4532888.9,0.4934608037712991
Moong(Green Gram),2017,2357448.0,4741800.0,0.4971631026192585
Moong(Green Gram),2018,2219762.0,4588360.8,0.4837810487789016
Moong(Green Gram),2019,2849167.0,4723790.52,0.6031526986509979
Moth,2011,472106.0,1369015.0,0.3448508599248365
Moth,2013,282489.0,958365.0,0.29476139049318373
Moth,2014,345800.0,879349.0,0.3932454577192901
Moth,2015,323233.0,1123743.0,0.28763961154819206
Moth,2016,450907.0,1421914.0,0.3171127086448266
Moth,2017,342191.0,1072758.0,0.31898247321390283
Moth,2018,224480.0,991555.0,0.2263918794217164
Moth,2019,320125.0,966949.0,0.3310670986784205
Niger seed,2011,58167.0,261925.0,0.22207502147561325
Niger seed,2013,64292.0,205699.0,0.31255378003782225
Niger seed,2014,114296.0,217717.0,0.5249750823316507
Niger seed,2015,116383.0,249229.0,0.4669721420861938
Niger seed,2016,124914.0,251327.0,0.4970178293617478
Niger seed,2017,122097.0,241688.0,0.5051843699314819
Niger seed,2018,101752.0,189536.0,0.5368478811413135
Niger seed,2019,23163.0,81658.0,0.28365867398172867
Oilseeds total,2011,33047.0,32591.5,1.0139760366966848
Oilseeds total,2013,31649.0,33154.4,0.9545942619984074
Oilseeds total,2014,33965.0,35036.0,0.9694314419454275
Oilseeds total,2015,1981961.0,884779.0,2.240063337850469
Oilseeds total,2016,2491352.0,1332304.0,1.8699576072728146
Oilseeds total,2017,2876526.0,914698.0,3.144782212271154
Oilseeds total,2018,2470359.0,1056488.0,2.3382745473682616
Oilseeds total,2019,3164745.0,853137.0,3.7095390306597884
Onion,2011,6699311.0,496289.0,13.498810169074874
Onion,2013,7907053.0,496957.0,15.910939980722679
Onion,2014,5514730.0,439955.0,12.534759236740122
Onion,2015,9979409.0,662112.95,15.072064366057182
Onion,2016,10601902.0,642569.21,16.499237490697695
Onion,2017,10853888.0,557306.5,19.475617097593513
Onion,2018,9575381.0,609574.45,15.708304375290009
Onion,2019,11650176.0,675919.8,17.236033032321288
Other  Rabi pulses,2011,105669.0,192793.0,0.5480956258785329
Other  Rabi pulses,2013,105017.0,180010.0,0.5833953669240598
Other  Rabi pulses,2014,98196.0,172526.3,0.5691653968119643
Other  Rabi pulses,2015,186699.0,209526.0,0.8910540935253859
Other  Rabi pulses,2016,173333.0,234170.0,0.7402015629670752
Other  Rabi pulses,2017,252571.0,295234.8,0.8554919677490594
Other  Rabi pulses,2018,211372.0,268943.0,0.7859360533644676
Other  Rabi pulses,2019,271606.0,371553.0,0.731002037394396
Other Cereals,2011,68844.0,78409.0,0.8780114527669017
Other Cereals,2013,32408.0,34271.0,0.9456391701438535
Other Cereals,2014,4109.0,6538.0,0.6284796573875803
Other Cereals,2015,49491.0,68644.0,0.7209807120797156
Other Cereals,2016,155000.0,184523.0,0.8400036851774576
Other Cereals,2017,57601.0,87999.0,0.6545642564120047
Other Cereals,2018,53220.0,88257.0,0.6030116591318536
Other Cereals,2019,121167.0,133373.0,0.908482226537605
Other Kharif pulses,2011,218696.0,341131.7,0.6410896436772073
Other Kharif pulses,2013,163427.0,295611.0,0.5528447858841518
Other Kharif pulses,2014,165578.0,259465.0,0.6381515811381111
Other Kharif pulses,2015,251408.0,407155.0,0.6174749174147438
Other Kharif pulses,2016,172153.0,284633.0,0.6048244581619138
Other Kharif pulses,2017,251396.0,364511.8,0.6896786331745639
Other Kharif pulses,2018,188773.0,302876.826,0.6232665684366356
Other Kharif pulses,2019,228758.0,361913.5,0.6320792122979663
Other Summer Pulses,2016,1458.0,2192.0,0.6651459854014599
Other Summer Pulses,2017,733.0,2179.0,0.3363928407526388
Other Summer Pulses,2018,660.0,2043.0,0.32305433186490456
Other Summer Pulses,2019,5543.0,12705.0,0.4362849271940181
Peas & beans (Pulses),2011,697322.0,673180.0,1.0358626221812888
Peas & beans (Pulses),2013,781548.0,717315.0,1.0895464335752076
Peas & beans (Pulses),2014,813853.0,784639.0,1.0372324087892648
Peas & beans (Pulses),2015,967658.0,897273.0,1.078443238568418
Peas & beans (Pulses),2016,1335729.0,1053830.0,1.267499501817181
Peas & beans (Pulses),2017,1124947.0,822964.0,1.3669455772062933
Peas & beans (Pulses),2018,955582.0,605708.0,1.5776281640658536
Peas & beans (Pulses),2019,1034858.0,632210.0,1.6368896411002674
Potato,2011,27576225.0,1393966.0,19.78256643275374
Potato,2013,27347907.0,1457154.0,18.768027950374496
Potato,2014,32799174.0,1417680.0,23.13580920941256
Potato,2015,32643412.0,1678957.29,19.442669682204958
Potato,2016,41078478.0,1780898.16,23.06615780882159
Potato,2017,42182229.0,1706732.21,24.715200634784996
Potato,2018,40363091.0,1708839.4,23.620178116211505
Potato,2019,39612744.0,1670881.36,23.70769400407938
Ragi,2011,1804425.0,1171176.0,1.540694993749872
Ragi,2013,2057440.0,1188244.0,1.731496224681126
Ragi,2014,2055314.0,1188136.5,1.7298635299900307
Ragi,2015,1834658.0,1139009.0,1.6107493443862164
Ragi,2016,1009798.0,1003004.0,1.0067736519495436
Ragi,2017,2260014.0,1195070.5,1.8911135368164473
Ragi,2018,1246043.0,924752.7,1.3474337517478998
Ragi,2019,1762291.0,1043004.0,1.6896301452343423
Rapeseed &Mustard,2011,6403065.0,5515019.3,1.161023135494739
Rapeseed &Mustard,2013,7308631.0,6057083.2,1.2066254926133424
Rapeseed &Mustard,2014,5963155.0,5376076.5,1.1092020360945385
Rapeseed &Mustard,2015,6629552.0,5553825.3,1.1936911303277762
Rapeseed &Mustard,2016,7927234.0,5785068.5,1.3702921581654566
Rapeseed &Mustard,2017,8415434.0,5923029.11,1.4207990276110596
Rapeseed &Mustard,2018,9966464.0,6488951.3,1.5359128985911792
Rapeseed &Mustard,2019,9101979.0,6394285.0,1.4234553198676632
Rice,2011,105059032.0,43746118.74,2.4015623562951083
Rice,2013,111364711.0,44147262.2,2.5225734383139162
Rice,2014,114729889.0,43875605.1,2.6148901818792236
Rice,2015,101797395.0,43197734.0,2.356544790057738
Rice,2016,118936131.0,44128759.47,2.6952067637626707
Rice,2017,118179300.0,44591061.75,2.650291232412738
Rice,2018,118689951.0,45337851.32,2.617899780081594
Rice,2019,134631489.0,47354250.12,2.8430708681656136
Safflower,2011,113411.0,197405.0,0.5745092576175882
Safflower,2013,124469.0,179485.0,0.6934785636682731
Safflower,2014,69311.0,131864.0,0.5256248862464358
Safflower,2015,41620.0,123133.0,0.3380084948795205
Safflower,2016,92434.0,142583.0,0.6482820532602064
Safflower,2017,56059.0,79860.0,0.7019659403956925
Safflower,2018,24160.0,46202.0,0.5229210856672871
Safflower,2019,42016.0,51304.0,0.8189614844846406
Sannhamp,2011,11317.0,8740.0,1.2948512585812357
Sannhamp,2013,13131.0,9767.0,1.3444251049452236
Sannhamp,2014,5734.0,5760.0,0.9954861111111111
Sannhamp,2015,5924.0,6106.0,0.9701932525384868
Sannhamp,2016,6143.0,6361.0,0.965728659015878
Sannhamp,2017,6763.0,5643.0,1.1984759879496723
Sannhamp,2018,3562.0,4658.0,0.7647058823529411
Sannhamp,2019,30300.0,10718.0,2.827019966411644
Sesamum,2011,821564.0,1920257.56,0.4278405236430888
Sesamum,2013,653834.0,1617965.5,0.4041087402667115
Sesamum,2014,815855.0,1727540.0,0.4722640286187295
Sesamum,2015,821017.0,1942544.0,0.4226504007116441
Sesamum,2016,785802.0,1563403.642,0.5026225978306887
Sesamum,2017,777192.0,1575088.61,0.49342747770869855
Sesamum,2018,686351.0,1414969.857,0.4850640433112774
Sesamum,2019,656726.0,1622062.44,0.4048709740174984
Small millets,2011,359105.0,703321.0,0.5105847827663329
Small millets,2013,401955.0,605216.0,0.6641513112673822
Small millets,2014,334922.0,532900.0,0.6284893976355789
Small millets,2015,384055.0,574146.0,0.6689152236539138
Small millets,2016,361880.0,450002.0,0.8041742036702059
Small millets,2017,381975.0,439361.51,0.8693865787196516
Small millets,2018,293071.0,353093.5,0.8300096150169856
Small millets,2019,348777.0,408771.0,0.8532332283845968
Soyabean,2011,12443530.0,10210115.7,1.2187452488907644
Soyabean,2013,10858024.0,11943273.0,0.9091330324610347
Soyabean,2014,9774198.0,10895529.0,0.8970833816329615
Soyabean,2015,7611866.0,11566702.0,0.6580843874079232
Soyabean,2016,13182454.0,11173537.0,1.1797923969822626
Soyabean,2017,11111672.0,10324422.3,1.0762512106851732
Soyabean,2018,12544823.0,11132501.0,1.1268647539308552
Soyabean,2019,10196747.0,12209016.0,0.8351817214425798
Sugarcane,2011,346244755.0,4792681.97,72.24446712035851
Sugarcane,2013,366777007.0,5010361.79,73.20369713261765
Sugarcane,2014,383158338.0,5131166.79,74.67275060064847
Sugarcane,2015,340172115.0,4899109.488,69.43549962155898
Sugarcane,2016,321561936.0,4428397.82,72.61360633584631
Sugarcane,2017,384329527.0,4773548.38,80.51233514470006
Sugarcane,2018,404582786.0,5106489.26,79.22914656242712
Sugarcane,2019,367210235.0,4597191.5,79.87708038701454
Sunflower,2011,419648.0,690077.0,0.6081176448425321
Sunflower,2013,453181.0,647801.0,0.6995682316019889
Sunflower,2014,381199.0,547916.0,0.6957252571562065
Sunflower,2015,231320.0,459939.5,0.5029357121969302
Sunflower,2016,220807.0,353756.5,0.624177930299514
Sunflower,2017,249510.0,271773.0,0.9180823702133766
Sunflower,2018,179085.0,217295.2,0.8241553425938538
Sunflower,2019,211905.0,234589.0,0.9033032239363312
Sweet potato,2011,364943.0,41687.0,8.754359872382278
Sweet potato,2013,399782.0,42358.4,9.438080758480018
Sweet potato,2014,376321.0,37851.0,9.942167974426038
Sweet potato,2015,374967.0,37567.5,9.981153922938711
Sweet potato,2016,374359.0,39590.2,9.45585018514683
Sweet potato,2017,405087.0,41018.81,9.87563998077955
Sweet potato,2018,450753.0,42380.14,10.635948819423438
Sweet potato,2019,897527.0,85300.5,10.5219430132297
Tapioca,2011,6752145.0,204190.84,33.06781538290356
Tapioca,2013,5287507.0,173646.2,30.44988603263417
Tapioca,2014,6129265.0,186281.3,32.903275852165514
Tapioca,2015,5266167.0,176863.21,29.775367076058387
Tapioca,2016,4751704.0,164415.0,28.90067207979807
Tapioca,2017,5633793.0,169294.2,33.2781217549095
Tapioca,2018,5178984.0,157418.34,32.89949570043745
Tapioca,2019,5883610.0,162993.48,36.097210759596024
Tobacco,2011,1330597.0,542553.0,2.452473767539761
Tobacco,2013,957825.0,456974.0,2.0960164035590645
Tobacco,2014,1075226.0,483931.8,2.2218544017979394
Tobacco,2015,933571.0,380329.0,2.4546405874913564
Tobacco,2016,973226.0,405169.0,2.4020248340815806
Tobacco,2017,1298568.0,439450.5,2.9549812777548325
Tobacco,2018,942035.0,409603.28,2.299871719777244
Tobacco,2019,1162818.0,439335.0,2.6467684113489707
Turmeric,2011,568298.0,121229.55,4.687784455192649
Turmeric,2013,543954.0,127282.5,4.273596134582523
Turmeric,2014,505647.0,114355.6,4.421707375939612
Turmeric,2015,641371.0,127914.45,5.014062132933379
Turmeric,2016,885740.0,153310.26,5.7774345957015525
Turmeric,2017,797573.0,133044.05,5.994803976577683
Turmeric,2018,928731.0,149618.9,6.207310707403945
Turmeric,2019,1042547.0,172712.19,6.036325519351008
Urad,2011,1737712.0,3210006.9,0.5413421385480511
Urad,2013,1563688.0,2866873.1,0.5454332806010841
Urad,2014,1860503.0,3101787.1,0.5998164735419784
Urad,2015,1854489.0,3575373.0,0.5186840645717244
Urad,2016,2880142.0,4328908.75,0.6653274915993551
Urad,2017,3933663.0,5276463.8,0.7455112266666172
Urad,2018,3001110.0,5574289.2,0.5383843378632024
Urad,2019,2083610.0,4543841.9,0.4585568877297425
Wheat,2011,103115997.0,30117395.0,3.4238019921709695
Wheat,2013,103052327.0,31637520.0,3.257282081528514
Wheat,2014,84958169.0,31161896.0,2.726347876907105
Wheat,2015,94471389.0,30345389.0,3.1132040851412386
Wheat,2016,113547582.0,31784843.0,3.572381402041218
Wheat,2017,111635301.0,30605607.5,3.6475440325763833
Wheat,2018,119510278.0,31936823.65,3.7420840378407516
Wheat,2019,132418100.0,35809575.0,3.6978405915177714
other oilseeds,2011,1120916.0,191717.0,5.84672199126838
other oilseeds,2013,1486074.0,407516.0,3.646664180056734
other oilseeds,2014,1417878.0,107255.0,13.219691389678802
other oilseeds,2015,96014.0,34038.0,2.8207885304659497
other oilseeds,2016,113817.0,268691.0,0.4235981108410777
other oilseeds,2017,1804472.0,123843.16,14.570623036427687
other oilseeds,2018,2012378.0,155681.0,12.926291583430219
other oilseeds,2019,2749614.0,926076.0,2.9691018879659983
